Temperature(°),W12(um),W34(um),W58(um),W6(um),W7(um),Idc(uA),Length(um),Gain(db),Bandwidth(Hz),GBW(MHz),Power(uW),PM(degree),GM(dB),PSRR(dB),SlewRate (V/us),CMRR,Class
-40,11.5,30,18,30,30,130,0.18,52.9019,27067.9,44.0161,2163.62,59.5574,7.08227,49.0085,6.8841,60.8866,0
-40,11.5,30,18,30,30,130,0.18,52.9094,27092.7,44.211,2163.84,59.4974,7.0668,49.0165,6.8849,60.8937,0
-40,11.6,30,18,30,30,130,0.18,52.9169,27117.4,44.4045,2164.06,59.4377,7.05144,49.0244,6.8858,60.9007,0
-40,11.6,30,18,30,30,130,0.18,52.9243,27141.9,44.5966,2164.28,59.3783,7.0362,49.0322,6.8866,60.9076,0
-40,11.7,30,18,30,30,130,0.18,52.9316,27166.2,44.7875,2164.5,59.3193,7.02107,49.04,6.8874,60.9145,0
-40,11.7,30,18,30,30,130,0.18,52.9389,27190.4,44.9771,2164.71,59.2606,7.00605,49.0477,6.8883,60.9213,0
-40,11.8,30,18,30,30,130,0.18,52.9461,27214.4,45.1654,2164.92,59.2021,6.99114,49.0553,6.8891,60.9281,0
-40,11.9,30,18,30,30,130,0.18,52.9532,27238.2,45.3524,2165.14,59.144,6.97634,49.0629,6.8899,60.9348,0
-40,11.9,30,18,30,30,130,0.18,52.9603,27261.9,45.538,2165.35,59.0862,6.96164,49.0704,6.8907,60.9414,0
-40,12,30,18,30,30,130,0.18,52.9674,27285.5,45.7223,2165.56,59.0288,6.94705,49.0779,6.8916,60.9481,0
-40,12,30,18,30,30,130,0.18,52.9744,27308.9,45.9057,2165.77,58.9716,6.93257,49.0853,6.8924,60.9546,0
-40,12.1,30,18,30,30,130,0.18,52.9813,27332.1,46.0878,2165.97,58.9147,6.91819,49.0926,6.8932,60.9611,0
-40,12.1,30,18,30,30,130,0.18,52.9882,27355.2,46.2686,2166.18,58.8581,6.90391,49.0999,6.894,60.9676,0
-40,12.2,30,18,30,30,130,0.18,52.9951,27378.2,46.4481,2166.38,58.8018,6.88973,49.1072,6.8948,60.974,0
-40,12.2,30,18,30,30,130,0.18,53.0018,27401,46.6263,2166.59,58.7458,6.87565,49.1143,6.8955,60.9804,0
